sampleSize,mergeSort,keycomp
1505,2501206,11320
1506,2453448,11328
1507,2472684,11336
1508,2463822,11343
1509,3241563,11351
1510,2671998,11358
1511,2824205,11365
1512,2684819,11371
1513,2627076,11379
1514,2594728,11386
1515,2609242,11393
1516,2612550,11399
1517,2840148,11406
1518,3555722,11412
1519,3648384,11418
1520,3552348,11423
1521,3324120,11431
1522,4814960,11438
1523,3642897,11445
1524,3930820,11451
1525,3959337,11458
1526,4113706,11464
1527,4096747,11470
1528,4060796,11475
1529,3179308,11482
1530,2704163,11488
1531,3373827,11494
1532,3294795,11499
1533,3263978,11505
1534,3235226,11510
1535,3205891,11515
1536,3159027,11519
1537,3362121,11531
1538,3212363,11542
1539,3251153,11553
1540,3431736,11563
1541,5298089,11574
1542,3476243,11584
1543,3441420,11594
1544,3501069,11603
1545,4262907,11614
1546,3549444,11624
1547,3417951,11634
1548,3394427,11643
1549,3453513,11653
1550,3685645,11662
1551,3126194,11671
1552,2698486,11679
1553,3116815,11690
1554,3513271,11700
1555,3436936,11710
1556,3236344,11719
1557,3189029,11729
1558,3146066,11738
1559,3164328,11747
1560,3112560,11755
1561,3311442,11765
